% Transmission outages,,,,,
% (reduction in MW capacity),,,,,
YEAR,WEEK,HAY_to_SI,SI_to_HAY,HAY_to_NI,NI_to_HAY
2019,1,0,0,0,0
2019,2,0,0,0,0
2019,3,0,0,0,0
2019,4,0,0,0,0
2019,5,0,0,0,0
2019,6,0,0,0,0
2019,7,0,0,0,0
2019,8,0,0,0,0
2019,9,0,0,0,0
2019,10,0,0,0,0
2019,11,0,0,0,0
2019,12,0,0,0,0
2019,13,0,0,0,0
2019,14,0,0,0,0
2019,15,0,0,0,0
2019,16,0,0,0,0
2019,17,0,0,0,0
2019,18,0,0,0,0
2019,19,0,0,0,0
2019,20,0,0,0,0
2019,21,0,0,0,0
2019,22,0,0,0,0
2019,23,0,0,0,0
2019,24,0,0,0,0
2019,25,0,0,0,0
2019,26,0,0,0,0
2019,27,0,0,0,0
2019,28,0,0,0,0
2019,29,0,0,0,0
2019,30,0,0,0,0
2019,31,0,0,0,0
2019,32,0,0,0,0
2019,33,0,0,0,0
2019,34,0,0,0,0
2019,35,0,0,0,0
2019,36,0,0,0,0
2019,37,0,0,0,0
2019,38,0,0,0,0
2019,39,0,0,0,0
2019,40,0,0,0,0
2019,41,0,0,0,0
2019,42,0,0,0,0
2019,43,0,0,0,0
2019,44,0,0,0,0
2019,45,0,0,0,0
2019,46,0,0,0,0
2019,47,0,0,0,0
2019,48,0,0,0,0
2019,49,0,0,0,0
2019,50,0,0,0,0
2019,51,0,0,0,0
2019,52,0,0,0,0
